Year,Month,Page path and screen class,Views
2026,01,/en/employment/employment-rights-and-conditions/leave-and-holidays/public-holidays/,220421
2026,03,/en/employment/employment-rights-and-conditions/leave-and-holidays/public-holidays/,66766
2026,02,/en/employment/employment-rights-and-conditions/leave-and-holidays/public-holidays/,56341
2026,03,/en/social-welfare/extra-social-welfare-benefits/fuel-allowance/,52674
2026,01,/en/,50713
2026,04,/en/employment/employment-rights-and-conditions/leave-and-holidays/public-holidays/,49575
2026,03,/en/,44203
2026,02,/en/,41891
2026,05,/en/employment/employment-rights-and-conditions/leave-and-holidays/public-holidays/,39810
2026,04,/en/,38682
2026,05,/en/,36735
2026,06,/en/,34508
2026,07,/en/,34222
2026,01,/en/education/primary-and-post-primary-education/attendance-and-discipline-in-schools/school-terms-in-primary-and-postprimary/,32820
2026,02,/en/education/primary-and-post-primary-education/attendance-and-discipline-in-schools/school-terms-in-primary-and-postprimary/,30761
2026,01,/en/money-and-tax/personal-finance/pensions/auto-enrolment/,30063
2026,01,/en/social-welfare/carers/carers-allowance/,28840
2026,01,/en/social-welfare/families-and-children/working-family-payment/,26977
2026,03,/en/social-welfare/families-and-children/working-family-payment/,24921
2026,01,/en/search_wagtail/,23152
2026,03,/en/government-in-ireland/how-government-works/government-records-and-statistics/when-do-clocks-change/,22081
2026,01,/en/social-welfare/extra-social-welfare-benefits/fuel-allowance/,20718
2026,06,/en/employment/employment-rights-and-conditions/leave-and-holidays/public-holidays/,20351
2026,07,/en/social-welfare/carers/carers-allowance/,20338
2026,03,/en/search_wagtail/,20147
2026,06,/en/social-welfare/families-and-children/back-to-school-clothing-and-footwear-allowance/,19956
2026,01,/en/social-welfare/older-and-retired-people/state-pension-contributory/,19887
2026,06,/en/social-welfare/carers/carers-allowance/,19798
2026,02,/en/search_wagtail/,19607
2026,01,/en/social-welfare/disability-and-illness/illness-benefit/,19511
2026,02,/en/social-welfare/families-and-children/working-family-payment/,19289
2026,01,/en/social-welfare/disability-and-illness/disability-allowance/,19198
2026,03,/en/social-welfare/carers/carers-allowance/,19046
2026,02,/en/social-welfare/carers/carers-allowance/,18654
2026,05,/en/social-welfare/carers/carers-allowance/,18468
2026,01,/en/employment/employment-rights-and-conditions/leave-and-holidays/sick-leave-and-sick-pay/,17797
2026,07,/en/employment/employment-rights-and-conditions/leave-and-holidays/public-holidays/,17607
2026,04,/en/search_wagtail/,17168
2026,04,/en/social-welfare/carers/carers-allowance/,17040
2026,05,/en/search_wagtail/,16682
2026,04,/en/social-welfare/extra-social-welfare-benefits/fuel-allowance/,16578
2026,03,/en/social-welfare/disability-and-illness/disability-allowance/,16183
2026,01,/en/employment/employment-rights-and-conditions/pay-and-employment/minimum-wage/,16167
2026,03,/en/education/primary-and-post-primary-education/attendance-and-discipline-in-schools/school-terms-in-primary-and-postprimary/,16157
2026,02,/en/social-welfare/disability-and-illness/illness-benefit/,16118
2026,06,/en/search_wagtail/,15749
2026,03,/en/social-welfare/disability-and-illness/illness-benefit/,15696
2026,02,/en/social-welfare/disability-and-illness/disability-allowance/,15545
2026,07,/en/search_wagtail/,15484
2026,02,/en/social-welfare/older-and-retired-people/state-pension-contributory/,15169
2026,04,/en/social-welfare/families-and-children/working-family-payment/,14849
2026,05,/en/social-welfare/families-and-children/working-family-payment/,14219
2026,07,/en/social-welfare/families-and-children/back-to-school-clothing-and-footwear-allowance/,14202
2026,01,/en/money-and-tax/budgets/social-welfare-rates-announced-in-budget-2026/,14071
2026,01,/en/social-welfare/unemployed-people/jobseekers-allowance/,14018
2026,02,/en/social-welfare/extra-social-welfare-benefits/household-benefits-package/,14005
2026,03,/en/social-welfare/older-and-retired-people/state-pension-contributory/,13945
2026,01,/en/social-welfare/unemployed-people/jobseekers-benefit/,13935
2026,01,/en/moving-country/irish-citizenship/irish-citizenship-through-birth-or-descent/,13908
2026,01,/en/housing/housing-grants-and-schemes/local-authority-housing-grants-and-supports/vacant-property-refurbishment-grant/,13572
2026,03,/en/social-welfare/extra-social-welfare-benefits/household-benefits-package/,13506
2026,02,/en/social-welfare/extra-social-welfare-benefits/fuel-allowance/,13372
2026,01,/en/money-and-tax/tax/income-tax-credits-and-reliefs/taxation-and-medical-expenses/,13338
2026,02,/en/housing/renting-a-home/changes-to-the-rules-for-renting-from-march-2026/,13321
2026,04,/en/social-welfare/disability-and-illness/illness-benefit/,13151
2026,01,/en/housing/renting-a-home/changes-to-the-rules-for-renting-from-march-2026/,13009
2026,05,/en/social-welfare/disability-and-illness/disability-allowance/,12950
2026,02,/en/employment/employment-rights-and-conditions/leave-and-holidays/sick-leave-and-sick-pay/,12627
2026,05,/en/social-welfare/disability-and-illness/illness-benefit/,12512
2026,01,/en/social-welfare/extra-social-welfare-benefits/household-benefits-package/,12504
2026,04,/en/social-welfare/older-and-retired-people/state-pension-contributory/,12249
2026,04,/en/social-welfare/disability-and-illness/disability-allowance/,12118
2026,01,/en/social-welfare/families-and-children/one-parent-family-payment/,11798
2026,04,/en/social-welfare/extra-social-welfare-benefits/household-benefits-package/,11792
2026,05,/en/social-welfare/older-and-retired-people/state-pension-contributory/,11746
2026,05,/en/social-welfare/families-and-children/back-to-school-clothing-and-footwear-allowance/,11718
2026,01,/en/health/medical-cards-and-gp-visit-cards/medical-card/,11711
2026,06,/en/social-welfare/disability-and-illness/illness-benefit/,11579
2026,06,/en/social-welfare/disability-and-illness/disability-allowance/,11360
2026,07,/en/social-welfare/disability-and-illness/disability-allowance/,11351
2026,03,/en/employment/employment-rights-and-conditions/leave-and-holidays/sick-leave-and-sick-pay/,11247
2026,02,/en/social-welfare/unemployed-people/jobseekers-benefit/,11067
2026,02,/en/moving-country/irish-citizenship/irish-citizenship-through-birth-or-descent/,10924
2026,01,/en/housing/renting-a-home/help-with-renting/housing-assistance-payment/,10785
2026,01,/en/moving-country/irish-citizenship/foreign-births-register/,10695
2026,01,/en/social-welfare/,10568
2026,03,/en/social-welfare/unemployed-people/jobseekers-benefit/,10560
2026,01,/en/money-and-tax/tax/housing-taxes-and-reliefs/rent-tax-credit/,10559
2026,02,/en/housing/housing-grants-and-schemes/local-authority-housing-grants-and-supports/vacant-property-refurbishment-grant/,10436
2026,07,/en/social-welfare/disability-and-illness/illness-benefit/,10419
2026,06,/en/social-welfare/older-and-retired-people/state-pension-contributory/,10280
2026,01,/en/housing/local-authority-and-social-housing/applying-for-local-authority-housing/,10221
2026,03,/en/health/medical-cards-and-gp-visit-cards/medical-card/,10005
2026,01,/en/employment/employment-rights-and-conditions/leave-and-holidays/parents-leave/,9986
2026,03,/en/housing/housing-grants-and-schemes/local-authority-housing-grants-and-supports/vacant-property-refurbishment-grant/,9805
2026,03,/en/moving-country/irish-citizenship/irish-citizenship-through-birth-or-descent/,9666
